"trip_id","duration"
"1073244","499"
"917465","499"
"1026350","499"
"1040125","499"
"934818","499"
"1064968","499"
"955116","499"
"1060831","499"
"942051","499"
"939903","499"
"1039255","499"
"1057978","499"
"1067265","499"
"914798","499"
"1032388","499"
"1055532","499"
"952548","499"
"957183","499"
"917486","499"
"943695","499"
"939658","499"
"955326","499"
"1075409","499"
"930427","499"
"1006534","499"
"956395","499"
"1050684","499"
"916522","499"
"938882","499"
"1011275","499"
"994886","499"
"1062544","499"
"1032534","499"
"1064503","499"
"914620","499"
"1019725","499"
"994292","499"
"946833","499"
"1001558","499"
"914642","499"
"1043316","499"
"1059996","499"
"962462","499"
"1050359","499"
"951946","499"
"1013704","499"
"1025443","499"
"1065899","499"
"1057525","499"
"948486","499"
"950556","499"
"934162","499"
"985690","499"
"977573","499"
"957784","499"
"1034368","499"
"966320","499"
"1000740","499"
"945006","499"
"1016761","499"
"919850","499"
"1003307","499"
"958157","499"
"943228","499"
"942127","499"
"985333","499"
"1061141","499"
"1052558","499"
"1059527","499"
"918175","499"
"1070135","499"
"1028621","499"
"1000210","499"
"1019196","499"
"1048927","499"
"1000076","499"
"1046794","499"
"950737","499"
"941864","499"
"1037760","499"
"944156","499"
"1059478","499"
"1015425","499"
"968228","499"
"955932","499"
"1041605","499"
"992292","499"
"918306","499"
"1022761","499"
"1004350","499"
"1005099","499"
"964096","499"
"1042576","499"
"1044125","499"
"1057757","499"
"951060","499"
"1020472","499"
"1074777","499"
"937692","499"
"968129","499"
"1044155","499"
"978490","499"
"918399","499"
"1036994","499"
"978559","499"
"978703","499"
"989329","499"
"1002918","499"
"942132","499"
"1005293","499"
"1072770","499"
"1030667","499"
"955413","499"
"1016978","499"
"923566","499"
"927710","499"
"1051852","499"
"940914","499"
"1060008","499"
"992851","499"
"937822","499"
"1009804","499"
"1074855","499"
"915019","499"
"963852","499"
"1043377","499"
"1068873","499"
"1057967","499"
"1006201","499"
"965126","499"
"1073251","499"
"1054998","499"
"1027062","499"
"1040729","499"
"1017062","499"
"960062","499"
"917447","499"
"1012007","499"
"1053820","499"
"993094","499"
"1052869","499"
"1009492","499"
"1035658","499"
"949171","499"
"956132","499"
"1013134","499"
"935496","499"
"917530","499"
"1053763","499"
"918688","499"
"1018107","499"
"940524","499"
"985865","499"
"1002856","499"
"969635","499"
"1007137","499"
"1011804","499"
"929290","499"
"996769","499"
"938404","499"
"1047921","499"
"947700","499"
"1062934","499"
"996572","499"
"1055279","499"
"1055280","499"
"1009888","499"
"1040433","499"
"1067136","499"
"960604","499"
"929566","499"
"1009420","499"
"1022124","499"
"963009","499"
"1055382","499"
"1038927","499"
"957513","499"
"1119969","499"
"1230272","499"
"1097029","499"
"1085029","499"
"1175067","499"
"1230335","499"
"1208574","499"
"1230359","499"
"1191300","499"
"1186342","499"
"1103808","499"
"1191043","499"
"1152180","499"
"1224617","499"
"1102323","499"
"1173559","499"
"1096545","499"
"1226037","499"
"1109240","499"
"1112324","499"
"1121192","499"
"1112493","499"
"1224557","499"
"1173066","499"
"1173060","499"
"1096433","499"
"1190244","499"
"1121456","499"
"1172799","499"
"1190240","499"
"1221457","499"
"1152558","499"
"1121771","499"
"1185800","499"
"1110111","499"
"1151802","499"
"1172188","499"
"1143255","499"
"1196797","499"
"1185392","499"
"1113058","499"
"1146929","499"
"1122463","499"
"1152732","499"
"1185014","499"
"1135867","499"
"1231056","499"
"1209994","499"
"1219996","499"
"1095812","499"
"1198009","499"
"1123347","499"
"1088878","499"
"1203077","499"
"1123697","499"
"1089889","499"
"1113896","499"
"1169541","499"
"1193218","499"
"1183585","499"
"1169434","499"
"1223741","499"
"1169062","499"
"1188904","499"
"1135989","499"
"1124510","499"
"1168499","499"
"1124806","499"
"1211347","499"
"1211365","499"
"1138676","499"
"1201815","499"
"1114658","499"
"1114693","499"
"1228868","499"
"1103388","499"
"1166276","499"
"1166081","499"
"1115125","499"
"1152712","499"
"1141532","499"
"1142296","499"
"1181592","499"
"1152843","499"
"1212574","499"
"1086447","499"
"1235654","499"
"1135407","499"
"1199011","499"
"1140797","499"
"1164060","499"
"1087454","499"
"1082402","499"
"1163853","499"
"1110657","499"
"1163732","499"
"1082382","499"
"1212786","499"
"1089272","499"
"1100469","499"
"1079825","499"
"1202090","499"
"1098692","499"
"1180463","499"
"1145430","499"
"1161737","499"
"1161636","499"
"1129009","499"
"1198109","499"
"1229406","499"
"1232920","499"
"1192520","499"
"1093771","499"
"1084890","499"
"1116805","499"
"1093350","499"
"1203700","499"
"1107994","499"
"1195826","499"
"1140211","499"
"1227831","499"
"1098406","499"
"1221322","499"
"1098352","499"
"1206533","499"
"1206577","499"
"1179114","499"
"1159021","499"
"1217970","499"
"1086577","499"
"1117490","499"
"1158780","499"
"1131382","499"
"1117535","499"
"1158338","499"
"1225098","499"
"1108063","499"
"1098080","499"
"1177970","499"
"1157715","499"
"1157701","499"
"1197067","499"
"1132113","499"
"1229739","499"
"1186736","499"
"1207654","499"
"1234091","499"
"1133198","499"
"1155369","499"
"1177351","499"
"1186554","499"
"1118724","499"
"1207762","499"
"1176231","499"
"1149398","499"
"1085131","499"
"1220280","499"
"1195692","499"
"1119233","499"
"1078524","499"
"1150064","499"
"1215960","499"
"1112120","499"
"1112160","499"
"1198518","499"
"1153020","499"
"1262140","499"
"1318909","499"
"1304337","499"
"1298403","499"
"1298377","499"
"1259608","499"
"1316486","499"
"1255465","499"
"1261338","499"
"1269448","499"
"1264011","499"
"1250978","499"
"1247591","499"
"1335849","499"
"1261216","499"
"1335984","499"
"1247624","499"
"1262095","499"
"1284732","499"
"1305940","499"
"1268442","499"
"1306303","499"
"1281211","499"
"1303318","499"
"1300855","499"
"1281426","499"
"1323552","499"
"1281439","499"
"1252797","499"
"1272530","499"
"1281403","499"
"1306493","499"
"1317589","499"
